y;x;intensity
1786;1225;0,0017143586
1786;1226;0,0017793396
1786;1227;0,0018205238
1786;1228;0,0018861925
1786;1229;0,0019036549
1786;1230;0,0019257618
1786;1231;0,001955816
1786;1232;0,0019777196
1786;1233;0,001995012
1786;1234;0,0020110575
1786;1235;0,0020165895
1786;1236;0,0020244322
1786;1237;0,0020152514
1786;1238;0,0020035435
1786;1239;0,0019587078
1786;1240;0,0019239865
1786;1241;0,001874959
1786;1242;0,0018237936
1786;1243;0,0017796413
1786;1244;0,0016991424
1786;1245;0,001633459
1786;1246;0,0015708188
1786;1247;0,0014891641
1786;1248;0,0013944131
1786;1249;0,0012828627
1786;1250;0,0011501708
1786;1251;0,0010056115
1786;1252;0,0008554597
1786;1253;0,00069356937
1786;1254;0,00051470695
1786;1255;0,0003412911
1786;1256;0,00014944623
1786;1257;0
1786;1258;0
1786;1259;0
1786;1260;0
1786;1261;0
1786;1262;0
1786;1263;0
1786;1264;0
1786;1265;0
1786;1266;0
1786;1267;0
1786;1268;0
1786;1269;0
1786;1270;0
1786;1271;0
1786;1272;0
1786;1273;0
1786;1274;0
1787;1180;0
1787;1181;0
1787;1182;0
1787;1183;0
1787;1184;0
1787;1185;0
1787;1186;0
1787;1187;0
1787;1188;0
1787;1189;0
1787;1190;0
1787;1191;0
1787;1192;0
1787;1193;0
1787;1194;0
1787;1195;0
1787;1196;0
1787;1197;0
1787;1198;0
1787;1199;0
1787;1200;0
1787;1201;0
1787;1202;0
1787;1203;0
1787;1204;0
1787;1205;0
1787;1206;0
1787;1207;0
1787;1208;4,18148E-05
1787;1209;0,00015260873
1787;1210;0,00029202984
1787;1211;0,00041248475
1787;1212;0,0005521899
1787;1213;0,0006661886
1787;1214;0,00078069296
1787;1215;0,00089493825
1787;1216;0,0009867272
1787;1217;0,0010788366
1787;1218;0,001167033
1787;1219;0,0012594932
1787;1220;0,0013387532
1787;1221;0,0014257472
1787;1222;0,0015117413
1787;1223;0,001598437
1787;1224;0,0016810347
1787;1225;0,0017531335
1787;1226;0,0018225429
1787;1227;0,0018647262
1787;1228;0,0019031124
1787;1229;0,0019385786
1787;1230;0,001975102
1787;1231;0,0019840477
1787;1232;0,002013946
1787;1233;0,0020369312
1787;1234;0,0020369398
1787;1235;0,0020485595
1787;1236;0,0020633976
1787;1237;0,0020572029
1787;1238;0,0020361277
1787;1239;0,002019693
1787;1240;0,0019739775
1787;1241;0,0019291966
1787;1242;0,0018805191
1787;1243;0,001825454
1787;1244;0,0017610146
1787;1245;0,0017060011
1787;1246;0,0016294973
1787;1247;0,0015568044
1787;1248;0,0014728343
1787;1249;0,0013604101
1787;1250;0,0012291679
1787;1251;0,0010985136
1787;1252;0,0009550056
1787;1253;0,0007889767
1787;1254;0,00062454835
1787;1255;0,00044644348
1787;1256;0,00025308382
1787;1257;7,648204E-05
1787;1258;0
1787;1259;0
1787;1260;0
1787;1261;0
1787;1262;0
1787;1263;0
1787;1264;0
1787;1265;0
